numsampled	0.03-FUN_ITS_1_10_S10_L001	lci-FUN_ITS_1_10_S10_L001	hci-FUN_ITS_1_10_S10_L001	0.03-FUN_ITS_1_15_S15_L001	lci-FUN_ITS_1_15_S15_L001	hci-FUN_ITS_1_15_S15_L001	0.03-FUN_ITS_1_1_S1_L001	lci-FUN_ITS_1_1_S1_L001	hci-FUN_ITS_1_1_S1_L001	0.03-FUN_ITS_1_20_S20_L001	lci-FUN_ITS_1_20_S20_L001	hci-FUN_ITS_1_20_S20_L001	0.03-FUN_ITS_1_23_S23_L001	lci-FUN_ITS_1_23_S23_L001	hci-FUN_ITS_1_23_S23_L001	0.03-FUN_ITS_1_25_S25_L001	lci-FUN_ITS_1_25_S25_L001	hci-FUN_ITS_1_25_S25_L001	0.03-FUN_ITS_1_28_S28_L001	lci-FUN_ITS_1_28_S28_L001	hci-FUN_ITS_1_28_S28_L001	0.03-FUN_ITS_1_30_S30_L001	lci-FUN_ITS_1_30_S30_L001	hci-FUN_ITS_1_30_S30_L001	0.03-FUN_ITS_1_31_S31_L001	lci-FUN_ITS_1_31_S31_L001	hci-FUN_ITS_1_31_S31_L001	0.03-FUN_ITS_1_33_S33_L001	lci-FUN_ITS_1_33_S33_L001	hci-FUN_ITS_1_33_S33_L001	0.03-FUN_ITS_1_35_S35_L001	lci-FUN_ITS_1_35_S35_L001	hci-FUN_ITS_1_35_S35_L001	0.03-FUN_ITS_1_3_S3_L001	lci-FUN_ITS_1_3_S3_L001	hci-FUN_ITS_1_3_S3_L001	0.03-FUN_ITS_1_40_S40_L001	lci-FUN_ITS_1_40_S40_L001	hci-FUN_ITS_1_40_S40_L001	0.03-FUN_ITS_1_47_S47_L001	lci-FUN_ITS_1_47_S47_L001	hci-FUN_ITS_1_47_S47_L001	0.03-FUN_ITS_1_51_S51_L001	lci-FUN_ITS_1_51_S51_L001	hci-FUN_ITS_1_51_S51_L001	0.03-FUN_ITS_1_56_S56_L001	lci-FUN_ITS_1_56_S56_L001	hci-FUN_ITS_1_56_S56_L001	0.03-FUN_ITS_1_57_S57_L001	lci-FUN_ITS_1_57_S57_L001	hci-FUN_ITS_1_57_S57_L001	0.03-FUN_ITS_1_58_S58_L001	lci-FUN_ITS_1_58_S58_L001	hci-FUN_ITS_1_58_S58_L001	0.03-FUN_ITS_1_59_S59_L001	lci-FUN_ITS_1_59_S59_L001	hci-FUN_ITS_1_59_S59_L001	0.03-FUN_ITS_1_5_S5_L001	lci-FUN_ITS_1_5_S5_L001	hci-FUN_ITS_1_5_S5_L001
1	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
2	1.564000	1.000000	2.000000	1.740000	1.000000	2.000000	1.840000	1.000000	2.000000	1.828000	1.000000	2.000000	1.016000	1.000000	1.000000	1.668000	1.000000	2.000000	1.516000	1.000000	2.000000	1.736000	1.000000	2.000000	1.004000	1.000000	1.000000	1.756000	1.000000	2.000000	1.872000	1.000000	2.000000	1.640000	1.000000	2.000000	1.428000	1.000000	2.000000	1.680000	1.000000	2.000000	1.528000	1.000000	2.000000	1.936000	1.000000	2.000000	1.764000	1.000000	2.000000	1.720000	1.000000	2.000000	1.832000	1.000000	2.000000	1.872000	1.000000	2.000000
3	2.008000	1.000000	3.000000	2.320000	1.000000	3.000000	2.584000	1.000000	3.000000	2.532000	1.000000	3.000000	1.028000	1.000000	2.000000	2.212000	1.000000	3.000000	1.900000	1.000000	3.000000	2.340000	1.000000	3.000000	1.012000	1.000000	1.000000	2.416000	1.000000	3.000000	2.644000	2.000000	3.000000	2.148000	1.000000	3.000000	1.712000	1.000000	3.000000	2.276000	1.000000	3.000000	1.928000	1.000000	3.000000	2.840000	2.000000	3.000000	2.456000	1.000000	3.000000	2.376000	1.000000	3.000000	2.556000	1.000000	3.000000	2.640000	2.000000	3.000000
4	2.360000	1.000000	4.000000	2.812000	1.000000	4.000000	3.272000	2.000000	4.000000	3.196000	2.000000	4.000000	1.036000	1.000000	2.000000	2.692000	1.000000	4.000000	2.184000	1.000000	4.000000	2.872000	2.000000	4.000000	1.012000	1.000000	1.000000	3.024000	1.000000	4.000000	3.308000	2.000000	4.000000	2.556000	1.000000	4.000000	1.944000	1.000000	3.000000	2.804000	1.000000	4.000000	2.268000	1.000000	4.000000	3.688000	3.000000	4.000000	3.080000	1.000000	4.000000	2.936000	1.000000	4.000000	3.248000	2.000000	4.000000	3.348000	2.000000	4.000000
5	2.644000	1.000000	4.000000	3.204000	2.000000	5.000000	3.876000	2.000000	5.000000	3.784000	2.000000	5.000000	1.040000	1.000000	2.000000	3.092000	1.000000	5.000000	2.384000	1.000000	4.000000	3.288000	2.000000	5.000000	1.012000	1.000000	1.000000	3.512000	2.000000	5.000000	3.912000	2.000000	5.000000	2.844000	1.000000	5.000000	2.092000	1.000000	4.000000	3.252000	1.000000	5.000000	2.548000	1.000000	4.000000	4.468000	3.000000	5.000000	3.640000	1.000000	5.000000	3.452000	1.000000	5.000000	3.880000	2.000000	5.000000	3.972000	2.000000	5.000000
6	2.908000	1.000000	5.000000	3.560000	2.000000	5.000000	4.412000	2.000000	6.000000	4.264000	2.000000	6.000000	1.056000	1.000000	2.000000	3.428000	1.000000	5.000000	2.548000	1.000000	4.000000	3.560000	2.000000	5.000000	1.012000	1.000000	1.000000	3.964000	2.000000	6.000000	4.484000	3.000000	6.000000	3.072000	1.000000	5.000000	2.248000	1.000000	4.000000	3.620000	2.000000	6.000000	2.820000	1.000000	5.000000	5.212000	3.000000	6.000000	4.160000	2.000000	6.000000	3.908000	2.000000	6.000000	4.412000	2.000000	6.000000	4.536000	3.000000	6.000000
7	3.180000	1.000000	5.000000	3.888000	2.000000	6.000000	4.948000	3.000000	7.000000	4.768000	3.000000	7.000000	1.072000	1.000000	2.000000	3.776000	2.000000	6.000000	2.696000	2.000000	4.000000	3.892000	2.000000	6.000000	1.012000	1.000000	1.000000	4.368000	3.000000	6.000000	5.024000	3.000000	7.000000	3.316000	2.000000	5.000000	2.412000	1.000000	4.000000	3.984000	2.000000	6.000000	3.080000	1.000000	5.000000	5.928000	4.000000	7.000000	4.672000	2.000000	7.000000	4.364000	2.000000	7.000000	4.956000	3.000000	7.000000	5.104000	3.000000	7.000000
8	3.396000	1.000000	5.000000	4.160000	2.000000	6.000000	5.432000	3.000000	8.000000	5.172000	3.000000	7.000000	1.080000	1.000000	2.000000	4.108000	2.000000	6.000000	2.808000	2.000000	4.000000	4.144000	3.000000	6.000000	1.012000	1.000000	1.000000	4.752000	3.000000	7.000000	5.472000	3.000000	7.000000	3.516000	2.000000	5.000000	2.576000	1.000000	4.000000	4.320000	2.000000	6.000000	3.320000	1.000000	5.000000	6.592000	5.000000	8.000000	5.120000	2.000000	7.000000	4.756000	2.000000	7.000000	5.424000	3.000000	8.000000	5.588000	3.000000	8.000000
9	3.596000	2.000000	6.000000	4.400000	2.000000	7.000000	5.872000	4.000000	8.000000	5.500000	3.000000	8.000000	1.096000	1.000000	2.000000	4.388000	2.000000	7.000000	2.912000	2.000000	4.000000	4.312000	3.000000	6.000000	1.012000	1.000000	1.000000	5.060000	3.000000	7.000000	5.916000	4.000000	8.000000	3.700000	2.000000	6.000000	2.688000	1.000000	4.000000	4.596000	2.000000	7.000000	3.532000	2.000000	6.000000	7.252000	5.000000	9.000000	5.560000	3.000000	8.000000	5.128000	3.000000	7.000000	5.812000	3.000000	8.000000	6.032000	4.000000	8.000000
10	3.864000	2.000000	6.000000	4.748000	3.000000	7.000000	6.320000	4.000000	8.000000	5.936000	4.000000	8.000000	1.132000	1.000000	2.000000	4.736000	3.000000	7.000000	3.048000	2.000000	4.000000	4.548000	3.000000	6.000000	1.020000	1.000000	1.000000	5.444000	3.000000	8.000000	6.372000	4.000000	8.000000	3.964000	2.000000	6.000000	2.868000	1.000000	5.000000	4.984000	3.000000	7.000000	3.812000	2.000000	6.000000	7.920000	6.000000	10.000000	6.080000	3.000000	9.000000	5.564000	3.000000	8.000000	6.300000	4.000000	9.000000	6.520000	4.000000	8.000000
11	4.084000	2.000000	6.000000	5.048000	3.000000	8.000000	6.736000	4.000000	9.000000	6.292000	4.000000	9.000000	1.140000	1.000000	2.000000	5.060000	3.000000	8.000000	3.128000	2.000000	4.000000	4.712000	3.000000	6.000000	1.028000	1.000000	2.000000	5.808000	4.000000	8.000000	6.788000	4.000000	9.000000	4.172000	2.000000	6.000000	3.012000	1.000000	5.000000	5.296000	3.000000	8.000000	4.068000	2.000000	6.000000	8.528000	6.000000	11.000000	6.540000	4.000000	9.000000	5.952000	4.000000	9.000000	6.720000	4.000000	9.000000	6.968000	4.000000	9.000000
12	4.284000	2.000000	6.000000	5.268000	3.000000	8.000000	7.076000	5.000000	9.000000	6.604000	4.000000	9.000000	1.144000	1.000000	2.000000	5.320000	3.000000	8.000000	3.204000	2.000000	4.000000	4.872000	3.000000	6.000000	1.028000	1.000000	2.000000	6.072000	4.000000	8.000000	7.164000	5.000000	9.000000	4.340000	2.000000	6.000000	3.152000	2.000000	5.000000	5.548000	3.000000	8.000000	4.260000	2.000000	7.000000	9.076000	6.000000	11.000000	6.932000	4.000000	10.000000	6.260000	4.000000	9.000000	7.076000	5.000000	10.000000	7.340000	5.000000	10.000000
13	4.492000	2.000000	7.000000	5.500000	3.000000	8.000000	7.476000	5.000000	10.000000	6.940000	5.000000	10.000000	1.156000	1.000000	2.000000	5.624000	3.000000	8.000000	3.280000	2.000000	4.000000	5.016000	3.000000	7.000000	1.032000	1.000000	2.000000	6.392000	4.000000	9.000000	7.564000	5.000000	10.000000	4.496000	2.000000	7.000000	3.288000	2.000000	5.000000	5.828000	3.000000	8.000000	4.468000	2.000000	7.000000	9.696000	7.000000	12.000000	7.380000	4.000000	10.000000	6.624000	4.000000	10.000000	7.448000	5.000000	10.000000	7.724000	5.000000	10.000000
14	4.676000	3.000000	7.000000	5.728000	3.000000	9.000000	7.812000	5.000000	11.000000	7.260000	5.000000	10.000000	1.172000	1.000000	2.000000	5.900000	4.000000	8.000000	3.348000	2.000000	4.000000	5.156000	4.000000	7.000000	1.036000	1.000000	2.000000	6.672000	5.000000	9.000000	7.940000	5.000000	10.000000	4.676000	2.000000	7.000000	3.424000	2.000000	5.000000	6.100000	4.000000	9.000000	4.664000	3.000000	7.000000	10.216000	7.000000	13.000000	7.776000	5.000000	11.000000	6.948000	5.000000	10.000000	7.820000	5.000000	11.000000	8.072000	6.000000	11.000000
15	4.812000	3.000000	7.000000	5.908000	3.000000	9.000000	8.084000	6.000000	11.000000	7.492000	5.000000	10.000000	1.176000	1.000000	2.000000	6.124000	4.000000	8.000000	3.400000	2.000000	4.000000	5.224000	4.000000	7.000000	1.036000	1.000000	2.000000	6.892000	5.000000	9.000000	8.208000	6.000000	11.000000	4.812000	3.000000	7.000000	3.512000	2.000000	5.000000	6.308000	4.000000	9.000000	4.812000	3.000000	7.000000	10.672000	8.000000	14.000000	8.112000	5.000000	11.000000	7.220000	5.000000	11.000000	8.136000	5.000000	11.000000	8.360000	6.000000	11.000000
16	4.968000	3.000000	7.000000	6.120000	4.000000	9.000000	8.368000	6.000000	11.000000	7.740000	5.000000	10.000000	1.184000	1.000000	2.000000	6.336000	4.000000	9.000000	3.448000	2.000000	4.000000	5.304000	4.000000	7.000000	1.040000	1.000000	2.000000	7.088000	5.000000	9.000000	8.512000	6.000000	11.000000	4.972000	3.000000	7.000000	3.596000	2.000000	6.000000	6.564000	4.000000	9.000000	4.984000	3.000000	7.000000	11.172000	8.000000	14.000000	8.480000	5.000000	12.000000	7.528000	5.000000	11.000000	8.476000	5.000000	11.000000	8.672000	6.000000	11.000000
17	5.120000	3.000000	7.000000	6.312000	4.000000	9.000000	8.636000	6.000000	11.000000	7.956000	6.000000	10.000000	1.184000	1.000000	2.000000	6.536000	4.000000	9.000000	3.484000	3.000000	4.000000	5.376000	4.000000	7.000000	1.040000	1.000000	2.000000	7.292000	5.000000	10.000000	8.792000	6.000000	11.000000	5.112000	3.000000	7.000000	3.680000	2.000000	6.000000	6.760000	4.000000	9.000000	5.164000	3.000000	8.000000	11.656000	9.000000	14.000000	8.840000	6.000000	12.000000	7.812000	5.000000	11.000000	8.772000	6.000000	12.000000	8.948000	6.000000	12.000000
18	5.244000	3.000000	8.000000	6.476000	4.000000	9.000000	8.912000	6.000000	12.000000	8.160000	6.000000	11.000000	1.200000	1.000000	2.000000	6.716000	4.000000	9.000000	3.524000	3.000000	4.000000	5.440000	4.000000	7.000000	1.040000	1.000000	2.000000	7.492000	5.000000	10.000000	9.072000	6.000000	12.000000	5.248000	3.000000	7.000000	3.760000	2.000000	6.000000	6.968000	4.000000	9.000000	5.316000	3.000000	8.000000	12.128000	9.000000	15.000000	9.188000	6.000000	12.000000	8.096000	5.000000	11.000000	9.096000	6.000000	12.000000	9.240000	7.000000	12.000000
19	5.376000	3.000000	8.000000	6.660000	4.000000	9.000000	9.152000	7.000000	12.000000	8.352000	6.000000	11.000000	1.208000	1.000000	2.000000	6.888000	4.000000	9.000000	3.552000	3.000000	4.000000	5.484000	4.000000	7.000000	1.040000	1.000000	2.000000	7.660000	5.000000	10.000000	9.332000	6.000000	12.000000	5.392000	3.000000	8.000000	3.836000	2.000000	6.000000	7.156000	4.000000	10.000000	5.480000	3.000000	9.000000	12.584000	9.000000	16.000000	9.560000	6.000000	13.000000	8.356000	6.000000	11.000000	9.388000	7.000000	13.000000	9.496000	7.000000	12.000000
20	5.548000	3.000000	8.000000	6.880000	4.000000	10.000000	9.452000	7.000000	12.000000	8.624000	6.000000	11.000000	1.220000	1.000000	2.000000	7.148000	4.000000	10.000000	3.580000	3.000000	4.000000	5.556000	4.000000	7.000000	1.044000	1.000000	2.000000	7.896000	5.000000	11.000000	9.624000	7.000000	13.000000	5.552000	3.000000	8.000000	3.952000	2.000000	6.000000	7.372000	4.000000	10.000000	5.688000	3.000000	9.000000	13.048000	9.000000	16.000000	9.920000	7.000000	13.000000	8.684000	6.000000	12.000000	9.704000	7.000000	13.000000	9.788000	7.000000	12.000000
21	5.680000	3.000000	8.000000	7.052000	4.000000	10.000000	9.644000	7.000000	12.000000	8.792000	6.000000	11.000000	1.232000	1.000000	2.000000	7.308000	5.000000	10.000000	3.624000	3.000000	4.000000	5.616000	4.000000	7.000000	1.048000	1.000000	2.000000	8.052000	6.000000	11.000000	9.836000	7.000000	13.000000	5.676000	3.000000	8.000000	4.036000	2.000000	6.000000	7.560000	5.000000	10.000000	5.832000	3.000000	9.000000	13.444000	10.000000	17.000000	10.200000	7.000000	14.000000	8.876000	6.000000	12.000000	9.956000	7.000000	13.000000	10.000000	7.000000	13.000000
22	5.828000	3.000000	8.000000	7.236000	5.000000	10.000000	9.848000	7.000000	13.000000	8.972000	6.000000	12.000000	1.248000	1.000000	2.000000	7.496000	5.000000	10.000000	3.656000	3.000000	4.000000	5.680000	4.000000	7.000000	1.052000	1.000000	2.000000	8.264000	6.000000	11.000000	10.048000	7.000000	13.000000	5.808000	3.000000	8.000000	4.128000	2.000000	6.000000	7.780000	5.000000	10.000000	5.992000	4.000000	9.000000	13.848000	10.000000	17.000000	10.532000	7.000000	14.000000	9.124000	6.000000	12.000000	10.256000	7.000000	14.000000	10.236000	7.000000	13.000000
23	5.928000	4.000000	8.000000	7.384000	5.000000	11.000000	10.024000	7.000000	13.000000	9.116000	7.000000	12.000000	1.264000	1.000000	2.000000	7.612000	5.000000	10.000000	3.672000	3.000000	4.000000	5.720000	4.000000	7.000000	1.056000	1.000000	2.000000	8.404000	6.000000	11.000000	10.236000	7.000000	13.000000	5.896000	3.000000	8.000000	4.204000	2.000000	7.000000	7.936000	5.000000	11.000000	6.108000	4.000000	9.000000	14.196000	11.000000	18.000000	10.772000	8.000000	14.000000	9.300000	7.000000	12.000000	10.496000	8.000000	14.000000	10.408000	8.000000	13.000000
24	6.060000	4.000000	9.000000	7.604000	5.000000	11.000000	10.244000	7.000000	13.000000	9.312000	7.000000	12.000000	1.280000	1.000000	2.000000	7.804000	5.000000	10.000000	3.688000	3.000000	4.000000	5.788000	4.000000	7.000000	1.056000	1.000000	2.000000	8.576000	6.000000	12.000000	10.472000	7.000000	14.000000	6.052000	4.000000	8.000000	4.300000	2.000000	7.000000	8.120000	5.000000	11.000000	6.280000	4.000000	9.000000	14.596000	11.000000	18.000000	11.136000	8.000000	15.000000	9.564000	7.000000	13.000000	10.760000	8.000000	15.000000	10.612000	8.000000	14.000000
25	6.184000	4.000000	9.000000	7.760000	5.000000	11.000000	10.408000	7.000000	13.000000	9.448000	7.000000	12.000000	1.296000	1.000000	2.000000	7.940000	5.000000	11.000000	3.712000	3.000000	4.000000	5.840000	4.000000	7.000000	1.056000	1.000000	2.000000	8.740000	6.000000	12.000000	10.644000	7.000000	14.000000	6.160000	4.000000	9.000000	4.388000	2.000000	7.000000	8.292000	5.000000	11.000000	6.412000	4.000000	9.000000	14.976000	11.000000	19.000000	11.412000	8.000000	15.000000	9.776000	7.000000	13.000000	11.016000	8.000000	15.000000	10.816000	8.000000	14.000000
26	6.292000	4.000000	9.000000	7.928000	5.000000	11.000000	10.616000	8.000000	14.000000	9.616000	7.000000	12.000000	1.308000	1.000000	2.000000	8.104000	5.000000	11.000000	3.720000	3.000000	4.000000	5.876000	4.000000	7.000000	1.056000	1.000000	2.000000	8.876000	6.000000	12.000000	10.840000	8.000000	14.000000	6.256000	4.000000	9.000000	4.464000	2.000000	7.000000	8.456000	6.000000	12.000000	6.532000	4.000000	10.000000	15.336000	12.000000	19.000000	11.692000	8.000000	15.000000	10.000000	7.000000	14.000000	11.256000	8.000000	15.000000	11.032000	8.000000	14.000000
27	6.408000	4.000000	9.000000	8.092000	5.000000	11.000000	10.816000	8.000000	14.000000	9.772000	7.000000	12.000000	1.324000	1.000000	2.000000	8.256000	5.000000	11.000000	3.752000	3.000000	4.000000	5.908000	4.000000	7.000000	1.056000	1.000000	2.000000	9.016000	6.000000	12.000000	11.012000	8.000000	14.000000	6.376000	4.000000	9.000000	4.544000	2.000000	7.000000	8.612000	6.000000	12.000000	6.680000	4.000000	10.000000	15.696000	12.000000	20.000000	11.972000	8.000000	16.000000	10.196000	7.000000	14.000000	11.496000	8.000000	15.000000	11.200000	8.000000	14.000000
28	6.508000	4.000000	9.000000	8.240000	5.000000	12.000000	10.992000	8.000000	14.000000	9.916000	7.000000	13.000000	1.340000	1.000000	2.000000	8.392000	5.000000	11.000000	3.768000	3.000000	4.000000	5.968000	4.000000	7.000000	1.060000	1.000000	2.000000	9.152000	6.000000	12.000000	11.200000	8.000000	15.000000	6.468000	4.000000	9.000000	4.652000	2.000000	7.000000	8.752000	6.000000	12.000000	6.812000	4.000000	10.000000	16.028000	12.000000	20.000000	12.228000	9.000000	16.000000	10.388000	7.000000	14.000000	11.712000	8.000000	15.000000	11.360000	9.000000	14.000000
29	6.592000	4.000000	9.000000	8.356000	5.000000	12.000000	11.144000	8.000000	15.000000	10.020000	8.000000	13.000000	1.344000	1.000000	2.000000	8.488000	5.000000	11.000000	3.780000	3.000000	4.000000	6.004000	5.000000	8.000000	1.060000	1.000000	2.000000	9.264000	6.000000	12.000000	11.348000	8.000000	15.000000	6.540000	4.000000	9.000000	4.736000	2.000000	7.000000	8.864000	6.000000	12.000000	6.912000	4.000000	10.000000	16.296000	12.000000	20.000000	12.440000	9.000000	16.000000	10.544000	7.000000	14.000000	11.888000	9.000000	15.000000	11.484000	9.000000	14.000000
30	6.744000	4.000000	9.000000	8.536000	5.000000	12.000000	11.332000	8.000000	15.000000	10.192000	8.000000	13.000000	1.352000	1.000000	2.000000	8.648000	6.000000	11.000000	3.804000	3.000000	4.000000	6.048000	5.000000	8.000000	1.060000	1.000000	2.000000	9.428000	7.000000	13.000000	11.528000	8.000000	15.000000	6.656000	4.000000	9.000000	4.824000	3.000000	8.000000	9.008000	6.000000	12.000000	7.068000	4.000000	10.000000	16.648000	13.000000	21.000000	12.728000	9.000000	16.000000	10.752000	8.000000	14.000000	12.148000	9.000000	16.000000	11.668000	9.000000	15.000000
31	6.860000	4.000000	9.000000	8.712000	5.000000	12.000000	11.508000	8.000000	15.000000	10.336000	8.000000	13.000000	1.360000	1.000000	2.000000	8.812000	6.000000	12.000000	3.812000	3.000000	4.000000	6.080000	5.000000	8.000000	1.064000	1.000000	2.000000	9.580000	7.000000	13.000000	11.732000	8.000000	15.000000	6.764000	4.000000	9.000000	4.912000	3.000000	8.000000	9.172000	6.000000	12.000000	7.224000	4.000000	11.000000	16.984000	13.000000	21.000000	12.996000	9.000000	17.000000	10.984000	8.000000	15.000000	12.420000	9.000000	16.000000	11.832000	9.000000	15.000000
32	6.956000	5.000000	9.000000	8.844000	6.000000	12.000000	11.632000	9.000000	15.000000	10.460000	8.000000	13.000000	1.364000	1.000000	2.000000	8.928000	6.000000	12.000000	3.820000	3.000000	4.000000	6.096000	5.000000	8.000000	1.064000	1.000000	2.000000	9.688000	7.000000	13.000000	11.876000	9.000000	16.000000	6.840000	4.000000	9.000000	4.984000	3.000000	8.000000	9.308000	6.000000	12.000000	7.324000	4.000000	11.000000	17.296000	13.000000	21.000000	13.264000	9.000000	17.000000	11.152000	8.000000	15.000000	12.640000	9.000000	16.000000	11.976000	9.000000	15.000000
33	7.040000	5.000000	10.000000	8.960000	6.000000	12.000000	11.760000	9.000000	15.000000	10.576000	8.000000	13.000000	1.372000	1.000000	2.000000	9.036000	6.000000	12.000000	3.824000	3.000000	4.000000	6.132000	5.000000	8.000000	1.068000	1.000000	2.000000	9.784000	7.000000	13.000000	12.004000	9.000000	16.000000	6.904000	4.000000	9.000000	5.040000	3.000000	8.000000	9.412000	6.000000	12.000000	7.420000	4.000000	11.000000	17.592000	13.000000	22.000000	13.484000	9.000000	18.000000	11.288000	8.000000	15.000000	12.828000	9.000000	17.000000	12.120000	9.000000	15.000000
34	7.152000	5.000000	10.000000	9.104000	6.000000	12.000000	11.920000	9.000000	15.000000	10.692000	8.000000	13.000000	1.380000	1.000000	2.000000	9.152000	6.000000	12.000000	3.828000	3.000000	4.000000	6.156000	5.000000	8.000000	1.076000	1.000000	2.000000	9.912000	7.000000	13.000000	12.160000	9.000000	16.000000	6.988000	4.000000	9.000000	5.120000	3.000000	8.000000	9.536000	6.000000	12.000000	7.544000	4.000000	11.000000	17.872000	13.000000	22.000000	13.716000	10.000000	18.000000	11.476000	8.000000	15.000000	13.044000	9.000000	17.000000	12.292000	9.000000	15.000000
35	7.232000	5.000000	10.000000	9.228000	6.000000	12.000000	12.056000	9.000000	16.000000	10.784000	8.000000	13.000000	1.384000	1.000000	2.000000	9.264000	6.000000	13.000000	3.836000	3.000000	4.000000	6.188000	5.000000	8.000000	1.076000	1.000000	2.000000	10.024000	7.000000	13.000000	12.292000	9.000000	16.000000	7.060000	4.000000	10.000000	5.188000	3.000000	8.000000	9.636000	6.000000	13.000000	7.644000	4.000000	11.000000	18.156000	14.000000	22.000000	14.000000	10.000000	18.000000	11.672000	8.000000	16.000000	13.256000	10.000000	17.000000	12.452000	10.000000	16.000000
36	7.348000	5.000000	10.000000	9.380000	6.000000	13.000000	12.228000	9.000000	16.000000	10.884000	8.000000	14.000000	1.392000	1.000000	2.000000	9.396000	6.000000	13.000000	3.844000	3.000000	4.000000	6.212000	5.000000	8.000000	1.080000	1.000000	2.000000	10.164000	7.000000	13.000000	12.456000	9.000000	16.000000	7.164000	4.000000	10.000000	5.276000	3.000000	8.000000	9.764000	6.000000	13.000000	7.768000	4.000000	11.000000	18.448000	14.000000	22.000000	14.248000	10.000000	18.000000	11.828000	8.000000	16.000000	13.468000	10.000000	17.000000	12.600000	10.000000	16.000000
37	7.416000	5.000000	10.000000	9.496000	6.000000	13.000000	12.336000	9.000000	16.000000	10.964000	8.000000	14.000000	1.412000	1.000000	2.000000	9.492000	6.000000	13.000000	3.852000	3.000000	4.000000	6.240000	5.000000	8.000000	1.088000	1.000000	2.000000	10.244000	7.000000	13.000000	12.580000	9.000000	16.000000	7.228000	4.000000	10.000000	5.328000	3.000000	8.000000	9.884000	6.000000	13.000000	7.872000	5.000000	11.000000	18.728000	14.000000	23.000000	14.476000	10.000000	19.000000	11.976000	8.000000	16.000000	13.660000	10.000000	18.000000	12.696000	10.000000	16.000000
38	7.520000	5.000000	10.000000	9.632000	6.000000	13.000000	12.464000	9.000000	16.000000	11.060000	8.000000	14.000000	1.416000	1.000000	2.000000	9.604000	6.000000	13.000000	3.864000	3.000000	4.000000	6.280000	5.000000	8.000000	1.092000	1.000000	2.000000	10.368000	7.000000	13.000000	12.708000	9.000000	16.000000	7.312000	5.000000	10.000000	5.420000	3.000000	8.000000	9.992000	7.000000	13.000000	7.992000	5.000000	11.000000	19.008000	14.000000	23.000000	14.708000	10.000000	19.000000	12.124000	8.000000	16.000000	13.844000	10.000000	18.000000	12.804000	10.000000	16.000000
39	7.604000	5.000000	10.000000	9.748000	6.000000	13.000000	12.592000	9.000000	16.000000	11.168000	8.000000	14.000000	1.428000	1.000000	2.000000	9.708000	7.000000	13.000000	3.872000	3.000000	4.000000	6.312000	5.000000	8.000000	1.096000	1.000000	2.000000	10.468000	8.000000	13.000000	12.828000	9.000000	16.000000	7.400000	5.000000	10.000000	5.492000	3.000000	8.000000	10.108000	7.000000	13.000000	8.076000	5.000000	11.000000	19.276000	15.000000	24.000000	14.948000	11.000000	19.000000	12.292000	9.000000	16.000000	14.040000	10.000000	18.000000	12.948000	10.000000	16.000000
40	7.696000	5.000000	10.000000	9.900000	6.000000	14.000000	12.728000	9.000000	16.000000	11.268000	9.000000	14.000000	1.428000	1.000000	2.000000	9.816000	7.000000	13.000000	3.880000	3.000000	4.000000	6.344000	5.000000	8.000000	1.096000	1.000000	2.000000	10.576000	8.000000	14.000000	12.988000	9.000000	16.000000	7.488000	5.000000	10.000000	5.584000	3.000000	8.000000	10.200000	7.000000	13.000000	8.172000	5.000000	11.000000	19.540000	15.000000	24.000000	15.180000	11.000000	20.000000	12.480000	9.000000	16.000000	14.252000	10.000000	18.000000	13.076000	10.000000	16.000000
41	7.756000	5.000000	10.000000	9.996000	6.000000	14.000000	12.824000	9.000000	16.000000	11.336000	9.000000	14.000000	1.440000	1.000000	2.000000	9.896000	7.000000	13.000000	3.888000	3.000000	4.000000	6.360000	5.000000	8.000000	1.096000	1.000000	2.000000	10.660000	8.000000	14.000000	13.096000	9.000000	17.000000	7.540000	5.000000	10.000000	5.644000	3.000000	8.000000	10.276000	7.000000	13.000000	8.244000	5.000000	11.000000	19.752000	15.000000	24.000000	15.368000	11.000000	20.000000	12.584000	9.000000	16.000000	14.424000	11.000000	18.000000	13.176000	10.000000	16.000000
42	7.852000	5.000000	10.000000	10.120000	6.000000	14.000000	12.948000	9.000000	16.000000	11.424000	9.000000	14.000000	1.452000	1.000000	2.000000	9.972000	7.000000	13.000000	3.904000	3.000000	4.000000	6.396000	5.000000	8.000000	1.100000	1.000000	2.000000	10.756000	8.000000	14.000000	13.228000	10.000000	17.000000	7.616000	5.000000	10.000000	5.724000	3.000000	8.000000	10.392000	7.000000	13.000000	8.344000	5.000000	11.000000	19.996000	15.000000	25.000000	15.576000	12.000000	20.000000	12.716000	9.000000	16.000000	14.588000	11.000000	18.000000	13.292000	10.000000	16.000000
